"Restaurant Name	",Business Vertical,Tags,Competitor,Opening Hours,City Code,City Name,Address,Country,lat,lng,Google_id,Google_reviews,Google_grade,Google_maps_url,phone,created_at,updated_at
Camizo,restaurant,"bar,food,point_of_interest,establishment",Tazz,10:30-21:30,BUC,București,"Strada Prisaca Dornei 10A, BucureÈ™ti 032724, Romania",Romania,44.421496,26.17009,ChIJ66l6baX-sUARKgFRbDbeaJM,4.4,1740,https://maps.google.com/?cid=10621984046480163114,+40 733 018 778,27/07/2020 23:27:22,27/07/2020 23:27:22
Cofetaria Altfel,food,"point_of_interest,store,establishment",Tazz,10:00-16:00,BUC,București,"Bulevardul 1 Decembrie 1918, București 032453, Romania",Romania,44.4241687,26.1780315,ChIJH22zoK3-sUARFOx_zFh80RQ,4.3,143,https://maps.google.com/?cid=1500116871720987668,+40 744 347 848,27/07/2020 23:27:23,27/07/2020 23:27:23
Ciorbe si Placinte Lanariei,point_of_interest,establishment,Tazz,10:00-19:45,BUC,București,"Strada Lânăriei 83a, București, Romania",Romania,44.4152575,26.1047882,ChIJS2qLFFf_sUARmM-i6Wk6EXA,5,4,https://maps.google.com/?cid=8075299833417748376,+40 760 896 096,27/07/2020 23:27:25,27/07/2020 23:27:25
Giradiko,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Jiului 145, BucureÈ™ti, Romania",Romania,44.485189,26.0555771,ChIJIXQVnrQDskARnSlzIzwEZD0,4.3,328,https://maps.google.com/?cid=4423665390323968413,+40 770 739 490,27/07/2020 23:27:26,27/07/2020 23:27:26
Trattoria Verdi Victoriei,restaurant,"food,point_of_interest,establishment",Tazz,10:30-22:00,BUC,București,"Bulevardul Ion Mihalache nr 16, BucureÈ™ti 011171, Romania",Romania,44.4545876,26.081931,ChIJQfLwdGADskARG9WqOl8rn0o,4.4,105,https://maps.google.com/?cid=5377064168109823259,+40 735 555 221,27/07/2020 23:27:27,27/07/2020 23:27:27
Sensiblu Racari 5,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Strada Răcari Nr. 5, București 031827, Romania",Romania,44.415475,26.134897,ChIJR0g6wO7-sUARgrOtuGslq3g,4,5,https://maps.google.com/?cid=8695084650158994306,+40 725 681 139,27/07/2020 23:27:29,27/07/2020 23:27:29
FULL KEBAB Berceni,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Nițu Vasile nr 9, București 041541, Romania",Romania,44.3893982,26.118748,ChIJj0laEqIpu0ARY0aMKbJSnPs,4.7,31,https://maps.google.com/?cid=18130457125041489507,+40 723 333 388,27/07/2020 23:27:30,27/07/2020 23:27:30
Sushi Home,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada Puțul lui Zamfir 5, București 011681, Romania",Romania,44.4608,26.0953,ChIJJ6no4QcCskARgnStL1IcqWU,4.7,361,https://maps.google.com/?cid=7325417408207615106,+40 761 341 667,27/07/2020 23:27:32,27/07/2020 23:27:32
Provence Berceni,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Bulevardul Alexandru Obregia 25, BucureÈ™ti 041727, Romania",Romania,44.3827393,26.1160541,ChIJgRC26xX-sUART6qoa4g-33U,4.1,649,https://maps.google.com/?cid=8493576177886734927,+40 722 683 629,27/07/2020 23:27:33,27/07/2020 23:27:33
"Sensiblu Victoriei 155, bl. D1",pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Strada Calea Victoriei, Nr. 155, parter bl. D1 tronson 7-8, BucureÈ™ti 010073, Romania",Romania,44.451045,26.086709,ChIJZziFWYQBskARiRB87OMOgPw,5,1,https://maps.google.com/?cid=18194558866664722569,+40 737 477 260,27/07/2020 23:27:35,27/07/2020 23:27:35
Restaurant Dada,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:45,BUC,București,"Strada Matei Voievod 94 bis, BucureÈ™ti 021457, Romania",Romania,44.4372701,26.1325083,ChIJfyC0Lyr_sUARwU0u9uBzTPc,4.5,502,https://maps.google.com/?cid=17819745235638308289,+40 729 997 405,27/07/2020 23:27:36,27/07/2020 23:27:36
Sensiblu Sebastian 88,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Centrul Comercial Kaufland, Strada Mihail Sebastian Nr. 88, BucureÈ™ti 050784, Romania",Romania,44.41622,26.070963,ChIJP9brMKT_sUAR6EWYxxepxac,2.9,14,https://maps.google.com/?cid=12089254694343951848,+40 720 022 877,27/07/2020 23:27:38,27/07/2020 23:27:38
South Burger Berceni,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Împăratul Traian 74, București 041415, Romania",Romania,44.3921211,26.1085622,ChIJX_CAykX-sUARfRhIGwMr3aw,4.6,1716,https://maps.google.com/?cid=12456159436719265917,+40 21 9244,27/07/2020 23:27:41,27/07/2020 23:27:41
"Sensiblu Mihalache 106, Bl 84",pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Bulevardul Ion Mihalache Nr. 106, BucureÈ™ti 011202, Romania",Romania,44.462104,26.0730769,ChIJQ6wIFhkCskARzT0DtPF2Khg,3.4,10,https://maps.google.com/?cid=1741334986411425229,+40 726 301 374,27/07/2020 23:27:42,27/07/2020 23:27:42
Sensiblu Maniu 140,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Bulevardul Iuliu Maniu 140-146, BucureÈ™ti 061115, Romania",Romania,44.4344078,26.0193767,ChIJszWlOqwBskARuhiWVPFqel4,3,1,https://maps.google.com/?cid=6807871371462711482,+40 21 769 6778,27/07/2020 23:27:44,27/07/2020 23:27:44
Sensiblu Unirii 1,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Piața Unirii, București 030167, Romania",Romania,44.428093,26.1042787,ChIJj6ViFBb_sUARETZqFhzxLDE,2.7,18,https://maps.google.com/?cid=3543472109771175441,+40 31 437 9690,27/07/2020 23:27:45,27/07/2020 23:27:45
Fabrica de cafea,food,"point_of_interest,establishment",Tazz,Deschide maine la 09:00,BUC,București,"Strada Miron Costin 26, BucureÈ™ti 011098, Romania",Romania,44.4503752,26.0732307,ChIJI672OTACskARHqyr_UG8p_0,4.2,11,https://maps.google.com/?cid=18277784604321229854,+40 725 941 229,27/07/2020 23:27:46,27/07/2020 23:27:46
Sensiblu Spl. Independentei 210B,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Bulevardul, Splaiul Independenței Nr. 210, București 060025, Romania",Romania,44.4433276,26.0608451,ChIJk5IVuBkBskARlJ-deUNfZ2o,0,0,https://maps.google.com/?cid=7667201634029379476,+40 737 800 605,27/07/2020 23:27:48,27/07/2020 23:27:48
"Sensiblu Mosilor 286,bl 30A",pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-19:30,BUC,București,"Calea Moșilor 286, București 030167, Romania",Romania,44.4436635,26.1199308,ChIJkX9UmLcBskARsR6P0YG3qww,4,2,https://maps.google.com/?cid=913025117667139249,+40 21 211 7411,27/07/2020 23:27:49,27/07/2020 23:27:49
Souk,restaurant,"night_club,bar,food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Calea Floreasca 131, BucureÈ™ti 014455, Romania",Romania,44.4628,26.1012589,ChIJ_bLDrKH5sUARki6gw1BgOkU,4.2,65,https://maps.google.com/?cid=4988405437261950610,+40 725 544 444,27/07/2020 23:27:51,27/07/2020 23:27:51
Bucatarasul cel Dibaci,restaurant,"food,point_of_interest,establishment",Tazz,10:00-18:00,BUC,București,"Strada Olteni NR.3, BucureÈ™ti 030741, Romania",Romania,44.4292926,26.1095988,ChIJ3WgmFD3_sUAR-zls60ZavGg,4.4,480,https://maps.google.com/?cid=7547006336210057723,+40 730 340 436,27/07/2020 23:27:52,27/07/2020 23:27:52
Trenta pizza Ghencea,meal_delivery,"meal_takeaway,restaurant,food,point_of_interest,establishment",Tazz,11:00-22:45,BUC,București,"nr. bl. C88, Bulevardul Ghencea 26, BucureÈ™ti 061694, Romania",Romania,44.415836,26.048856,ChIJdaT9qCkAskARgG4hUW_mvcU,4.3,264,https://maps.google.com/?cid=14248798161847021184,+40 21 9645,27/07/2020 23:27:54,27/07/2020 23:27:54
Decathlon Berceni,point_of_interest,"store,establishment",Tazz,09:30-21:30,BUC,București,"Bulevardul Metalurgiei 12-18, BucureÈ™ti 041833, Romania",Romania,44.3746522,26.1177031,ChIJzU7CuBr-sUARF4N1Uo9jiTI,4.4,6899,https://maps.google.com/?cid=3641551240920662807,+40 21 380 7613,27/07/2020 23:27:55,27/07/2020 23:27:55
Toan`s Baneasa,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Șoseaua București-Ploiești 42D, București 077190, Romania",Romania,44.5104112,26.0865934,ChIJnYSI9-ACskAR36VP967purk,4.4,375,https://maps.google.com/?cid=13383266180367623647,+40 737 053 128,27/07/2020 23:27:57,27/07/2020 23:27:57
Decathlon Obor,point_of_interest,"store,establishment",Tazz,10:00-21:30,BUC,București,"Strada Ziduri Moși 23, București 021203, Romania",Romania,44.4521625,26.1310655,ChIJlTRI9V75sUARqRmJMt6MnSk,4.4,1582,https://maps.google.com/?cid=2998707812857092521,+40 371 502 304,27/07/2020 23:27:58,27/07/2020 23:27:58
Gyros Thessalonikis Titeica,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada Gheorghe Țițeica 178, București 014192, Romania",Romania,44.4701192,26.1102181,ChIJT62JkTf5sUARIVLz3wHuHuA,4.3,491,https://maps.google.com/?cid=16149607005616820769,+40 770 288 918,27/07/2020 23:27:59,27/07/2020 23:27:59
La Finca By Alioli,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:30,BUC,București,"Strada Grigore Alexandrescu 77, BucureÈ™ti 011745, Romania",Romania,44.4519444,26.0961111,ChIJIzy2kKz4sUARL-OF3uw7HgI,4.3,1154,https://maps.google.com/?cid=152625325908812591,+40 767 150 500,27/07/2020 23:28:01,27/07/2020 23:28:01
Chiftelarie Dorobantilor,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Calea Dorobanți Nr 65-67, București 010556, Romania",Romania,44.4506379,26.0989252,ChIJedGu1In5sUARLM_PQOm0ajk,5,1,https://maps.google.com/?cid=4137318121600962348,+40 728 078 665,27/07/2020 23:28:02,27/07/2020 23:28:02
Sensiblu Piata Amzei 10-22,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-19:30,BUC,București,"Strada Piata Amzei, Nr. 44126, BucureÈ™ti 010345, Romania",Romania,44.443602,26.094757,ChIJYWP3tTD_sUARM918sVdG3eg,2.9,11,https://maps.google.com/?cid=16779645129106185523,+40 726 301 283,27/07/2020 23:28:04,27/07/2020 23:28:04
33 Pizza,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:45,BUC,București,"Strada Grigore Moisil 38, BucureÈ™ti 023792, Romania",Romania,44.4657717,26.1167869,ChIJgez3Apj4sUARe5BG3z4ZAfE,4.6,72,https://maps.google.com/?cid=17366189395941953659,+40 738 948 664,27/07/2020 23:28:05,27/07/2020 23:28:05
Trattoria Verdi Unirii,restaurant,"food,point_of_interest,establishment",Tazz,10:30-22:00,BUC,București,"Strada Sfânta Vineri 30, București 030167, Romania",Romania,44.4284923,26.1082668,ChIJw24Rej3_sUARtIlteMnUy3s,4.3,536,https://maps.google.com/?cid=8920457448711358900,+40 736 623 447,27/07/2020 23:28:07,27/07/2020 23:28:07
Trattoria Garibaldi,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:45,BUC,București,"Strada Olimpului 24, BucureÈ™ti 040198, Romania",Romania,44.4214077,26.0986988,ChIJvxUP6hH_sUARod3gPpJq3Fo,4.3,409,https://maps.google.com/?cid=6547225134642552225,+40 747 220 088,27/07/2020 23:28:08,27/07/2020 23:28:08
Opa!-Opa! Greek Food,restaurant,"food,point_of_interest,establishment",Tazz,10:30-17:30,BUC,București,"Strada Preciziei 24, BucureÈ™ti 062204, Romania",Romania,44.4314157,25.9886604,ChIJrSn-nOQAskARtVVBPd9PdgU,4.5,74,https://maps.google.com/?cid=393589837665490357,+40 746 072 527,27/07/2020 23:28:10,27/07/2020 23:28:10
Burger Show Pipera,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:30,BUC,București,"Strada Alexandru Constantinescu 3, BucureÈ™ti 011471, Romania",Romania,44.4665388,26.067094,ChIJc_buEUEDskAR0rAz5KYc8ag,4.2,95,https://maps.google.com/?cid=12173542770877903058,+40 735 890 834,27/07/2020 23:28:12,27/07/2020 23:28:12
La Rulota-Burgarie si altele Oituz,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Oituz 13, Popești-Leordeni 077160, Romania",Romania,44.3702493,26.14572,ChIJ1W1MCwX9sUAR7ZveEaRuRw0,4.2,5,https://maps.google.com/?cid=956855096793013229,+40 734 037 942,27/07/2020 23:28:15,27/07/2020 23:28:15
Sensiblu Floreasca 246 B,pharmacy,"health,point_of_interest,store,establishment",Tazz,10:00-19:30,BUC,București,"Calea, Calea Floreasca Nr. 246B, BucureÈ™ti 014476, Romania",Romania,44.4786636,26.1019507,ChIJ_8I0mnACskARNCAg-2nLvrw,3.5,2,https://maps.google.com/?cid=13600531580750667828,+40 720 022 638,27/07/2020 23:28:18,27/07/2020 23:28:18
Poli Auchan Drumul Taberelor,shopping_mall,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",Tazz,10:00-22:00,BUC,București,"Strada Brașov 25, București 061444, Romania",Romania,44.417467,26.0365086,ChIJm0gkbTAAskAR8FR3Eq-XZa8,4.1,7883,https://maps.google.com/?cid=12638674707470046448,+40 21 9141,27/07/2020 23:28:19,27/07/2020 23:28:19
Sensiblu Dealul Bisericii 67,pharmacy,"health,point_of_interest,store,establishment",Tazz,09:00-20:30,BUC,București,"Drumul Dealul Bisericii 67-109, BucureÈ™ti, Romania",Romania,44.3612637,26.1224741,ChIJseSpmqcBrkARyXyNDxzAKD8,2,4,https://maps.google.com/?cid=4551098650210434249,+40 21 683 0135,27/07/2020 23:28:21,27/07/2020 23:28:21
Caru` cu Bere Delivery,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Stavropoleos 5, BucureÈ™ti 030081, Romania",Romania,44.4320175,26.0981207,ChIJwXfea0D_sUARVKdY1hnDhco,4.4,23773,https://maps.google.com/?cid=14593284683301693268,+40 726 282 373,27/07/2020 23:28:22,27/07/2020 23:28:22
Flondor Pizza,meal_delivery,"food,point_of_interest,establishment",Tazz,10:30-22:00,BUC,București,"Strada Iancu Cavaler de Flondor nr. 6, BucureÈ™ti 024051, Romania",Romania,44.439495,26.1213804,ChIJkzWcWrT_sUARzTbCtRriyHk,0,0,https://maps.google.com/?cid=8775512478277842637,+40 760 671 864,27/07/2020 23:28:23,27/07/2020 23:28:23
Chopstix Ready to Box AFI Cotroceni,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:00,BUC,București,"Bulevardul General Vasile Milea 4, BucureÈ™ti 061344, Romania",Romania,44.4308465,26.0527372,ChIJvxfddtABskAR92CFFNxmjfE,3.1,108,https://maps.google.com/?cid=17405681230279958775,+40 372 773 323,27/07/2020 23:28:27,27/07/2020 23:28:27
Taverna Covaci,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Covaci 1, BucureÈ™ti 030167, Romania",Romania,44.4310929,26.1011818,ChIJv_bzqjeYVkAR_BAD6BwBuKU,4,2546,https://maps.google.com/?cid=11941295635636097276,+40 747 226 677,27/07/2020 23:28:28,27/07/2020 23:28:28
Sole D`Italia,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Șoseaua Virtuții, București 061344, Romania",Romania,44.4360504,26.0355358,ChIJS4tS3rkBskARD4RQ74Gggnc,4.4,368,https://maps.google.com/?cid=8611621917412066319,+40 786 252 252,27/07/2020 23:28:30,27/07/2020 23:28:30
Birria,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Gheorghe Rostogolea 28, BucureÈ™ti 061344, Romania",Romania,44.427915,26.037194,ChIJ652hH9IBskARLgEK1F2XdX4,3.5,10,https://maps.google.com/?cid=9112355850299244846,+40 765 099 359,27/07/2020 23:28:31,27/07/2020 23:28:31
Fire Woks,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"151-171, Liberty Center, Strada Progresului, BucureÈ™ti, Romania",Romania,44.415668,26.079929,ChIJDTCWeXX_sUARezWWjjL1QNI,4.1,26,https://maps.google.com/?cid=15150378743963727227,+40 770 146 860,27/07/2020 23:28:32,27/07/2020 23:28:32
Ciorbe si Placinte,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Bulevardul Iancu de Hunedoara 64, București, Romania",Romania,44.4527339,26.0982641,ChIJAQCQYKz4sUARn30SR_8-hCA,3.9,28,https://maps.google.com/?cid=2343066972269477279,+40 760 896 096,27/07/2020 23:28:34,27/07/2020 23:28:34
Soup Up! Park Lake,restaurant,"food,point_of_interest,establishment",Tazz,11:00-19:15,BUC,București,"Strada Liviu Rebreanu 4, București 031783, Romania",Romania,44.4207896,26.1501765,ChIJocFTYb_-sUARIHXRcI-TdWM,4.2,51,https://maps.google.com/?cid=7166796626312394016,+40 728 462 122,27/07/2020 23:28:35,27/07/2020 23:28:35
Hello Donuts & 5 to Go Coffee Park Lake,cafe,"food,point_of_interest,store,establishment",Tazz,10:30-21:00,BUC,București,"2557 Amber St, Philadelphia, PA 19125, United States",Romania,39.984403,-75.1244141,ChIJtYXo3_nJxokRvp0sv1YC-Go,4.6,48,https://maps.google.com/?cid=7707913333842419134,+1 215-595-2557,27/07/2020 23:28:37,27/07/2020 23:28:37
Ciorbe si Placinte Mosilor,restaurant,"food,point_of_interest,establishment",Tazz,10:00-19:45,BUC,București,"Bulevardul Iancu de Hunedoara 64, București, Romania",Romania,44.4527339,26.0982641,ChIJAQCQYKz4sUARn30SR_8-hCA,3.9,28,https://maps.google.com/?cid=2343066972269477279,+40 760 896 096,27/07/2020 23:28:38,27/07/2020 23:28:38
Trattoria Monza,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Strada Baba Novac 25, BucureÈ™ti, Romania",Romania,44.4279281,26.1537445,ChIJ01M-WMj-sUARNH6eLK_6kVI,4.1,4829,https://maps.google.com/?cid=5949812213007941172,+40 722 661 166,27/07/2020 23:28:39,27/07/2020 23:28:39
Burgatoriu,point_of_interest,establishment,Tazz,10:00-19:00,BUC,București,"Strada Veseliei Nr. 5A, București 052166, Romania",Romania,44.4071249,26.0848523,ChIJ07JX3Bz_sUAR5cZDAwl9IJ0,0,0,https://maps.google.com/?cid=11322186940872378085,+40 21 345 9999,27/07/2020 23:28:40,27/07/2020 23:28:40
Gyros Thessalonikis Maniu,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Bulevardul Iuliu Maniu 246, BucureÈ™ti, Romania",Romania,44.4340056,25.9976415,ChIJQy_3vf0AskARWacSmRRZthk,4.4,2078,https://maps.google.com/?cid=1852766241711892313,+40 770 302 688,27/07/2020 23:28:42,27/07/2020 23:28:42
South Burger Unirii,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Verdeței, București, Romania",Romania,44.4270974,26.1233147,ChIJs62h8SD_sUAR23BjgmwKUUk,4.5,269,https://maps.google.com/?cid=5283015299042603227,+40 21 9244,27/07/2020 23:28:43,27/07/2020 23:28:43
Porto Gallo Dorobanti,restaurant,"food,point_of_interest,establishment",Tazz,10:30-20:00,BUC,București,"Calea Dorobanți 252, București 010567, Romania",Romania,44.4652728,26.0883083,ChIJC5JePc0DskARBXWWjieIw2c,4.5,47,https://maps.google.com/?cid=7476969509842482437,+40 720 730 195,27/07/2020 23:28:44,27/07/2020 23:28:44
Springtime Floreasca,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:00,BUC,București,"Calea Floreasca 113B, BucureÈ™ti 014455, Romania",Romania,44.4628375,26.1012553,ChIJ0XsRF6f4sUARwHY2XxjPID0,3.9,1375,https://maps.google.com/?cid=4404748139151914688,+40 31 405 7993,27/07/2020 23:28:47,27/07/2020 23:28:47
Porto Gallo Veranda,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Strada Buzești 59, București 011013, Romania",Romania,44.4495654,26.0830618,ChIJJwXebf4BskARAIGsNvKATj4,4.2,294,https://maps.google.com/?cid=4489667656322679040,+40 746 179 999,27/07/2020 23:28:48,27/07/2020 23:28:48
Chiftelarie Drumul Taberei,restaurant,"food,point_of_interest,establishment",Tazz,11:00-21:00,BUC,București,"Drumul Taberei 24, BucureÈ™ti 061344, Romania",Romania,44.4251341,26.0459891,ChIJMZbVWVcBskARRSCE3Vqs27U,4.8,202,https://maps.google.com/?cid=13104257047028047941,+40 731 705 830,27/07/2020 23:28:49,27/07/2020 23:28:49
Springtime Gara de Nord,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Piața Gării de Nord 1-3, București, Romania",Romania,44.4469499,26.0744071,ChIJ679rW_sBskAR74BLJaBAr4Q,3.3,302,https://maps.google.com/?cid=9560931590495502575,+40 31 405 7841,27/07/2020 23:28:51,27/07/2020 23:28:51
Jad Sticks Delivery,restaurant,"food,point_of_interest,establishment",Tazz,00:00-03:3011:00-00:00,BUC,București,"Strada Iordache Năstase 31, București 077160, Romania",Romania,44.3779446,26.0873744,ChIJe2o56Ev9sUARvPSqkOkPHds,2.6,32,https://maps.google.com/?cid=15788793364459746492,+40 728 473 463,27/07/2020 23:28:52,27/07/2020 23:28:52
Salad revolution,restaurant,"food,point_of_interest,establishment",Tazz,10:00-16:30,BUC,București,"Strada Rabat, BucureÈ™ti, Romania",Romania,44.459186,26.0899679,ChIJxQgZ-wYCskARrmEFmkJK4L4,4.1,88,https://maps.google.com/?cid=13754074911901835694,+40 21 233 9267,27/07/2020 23:28:54,27/07/2020 23:28:54
Pita Van,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Strada Baba Novac nr. 9-11, BucureÈ™ti, Romania",Romania,44.425677,26.1450295,ChIJRZ-NGBD_sUARdsx5mZr0xjs,4.6,29,https://maps.google.com/?cid=4307399038463495286,+40 728 922 222,27/07/2020 23:28:55,27/07/2020 23:28:55
Toan`s BNR,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Bulevardul General Gheorghe Magheru 12-14, București 010333, Romania",Romania,44.4422952,26.0992758,ChIJ63mYHU__sUARLxpeCe3n5B0,4.3,611,https://maps.google.com/?cid=2154101527040367151,+40 737 053 128,27/07/2020 23:28:56,27/07/2020 23:28:56
Hello Donuts,bakery,"cafe,food,point_of_interest,store,establishment",Tazz,10:30-21:00,BUC,București,"Bulevardul General Vasile Milea 4, BucureÈ™ti 061344, Romania",Romania,44.4309982,26.0509319,ChIJe6fi3M8BskARWYyev6T6F58,4.1,34,https://maps.google.com/?cid=11463906961991306329,+40 723 523 483,27/07/2020 23:28:58,27/07/2020 23:28:58
La Mosu,restaurant,"food,point_of_interest,establishment",Tazz,11:00-22:00,BUC,București,"Șoseaua Olteniței 197, București 077160, Romania",Romania,44.3883553,26.1345541,ChIJ_Ypm4HH-sUAR1g0NLH-qjz4,4.2,725,https://maps.google.com/?cid=4508009215197777366,+40 765 523 208,27/07/2020 23:29:00,27/07/2020 23:29:00
No Name,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Strada Măriuca 1 A, București 042031, Romania",Romania,44.3868555,26.1365785,ChIJVb6thnH-sUARYDjoB_2eTso,4.2,882,https://maps.google.com/?cid=14577763853441448032,+40 21 332 0029,27/07/2020 23:29:02,27/07/2020 23:29:02
Trenta Pizza Tineretului,meal_delivery,"meal_takeaway,restaurant,food,point_of_interest,establishment",Tazz,11:00-22:45,BUC,București,"Str. V.V. Stanciu nr. 213, Piața Timpuri Noi, București 040433, Romania",Romania,44.413108,26.114492,ChIJK3N4M_n-sUARdk4eZ4vRdg0,4.4,145,https://maps.google.com/?cid=970193166405619318,+40 21 9645,27/07/2020 23:29:04,27/07/2020 23:29:04
Fomila,dentist,"health,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Str. Dumbrava Noua, 4, Bucuresti-Sector 5, Bucuresti, 051149, BucureÈ™ti 052034, Romania",Romania,44.4077,26.062,ChIJj5bUN5D_sUARWygnq9fDLFc,5,11,https://maps.google.com/?cid=6281610911331854427,+40 21 421 1177,27/07/2020 23:29:05,27/07/2020 23:29:05
Gyros Mania,restaurant,"food,point_of_interest,establishment",Tazz,10:00-19:30,BUC,București,"Bulevardul Dimitrie Pompeiu, BucureÈ™ti 077190, Romania",Romania,44.481137,26.1161833,ChIJnZorWX8CskARutPv41rNcbc,4.1,504,https://maps.google.com/?cid=13218572171564012474,+40 727 412 646,27/07/2020 23:29:07,27/07/2020 23:29:07
Design Floral,florist,"point_of_interest,store,establishment",Tazz,08:15-20:15,BUC,București,"Șoseaua Ștefan cel Mare 56, București 031631, Romania",Romania,44.4521815,26.1179093,ChIJ52g4ecb-sUAR53hjxj_pZKA,4.8,114,https://maps.google.com/?cid=11557619003860154599,+40 765 441 049,27/07/2020 23:29:08,27/07/2020 23:29:08
The Soup Carousel,restaurant,"cafe,food,point_of_interest,establishment",Tazz,10:00-21:00,BUC,București,"Șoseaua Nicolae Titulescu 12, București 011141, Romania",Romania,44.4523116,26.0798417,ChIJC6GVVpsBskARjjeMoH7SCEQ,4.7,118,https://maps.google.com/?cid=4902399635694040974,+40 725 356 907,27/07/2020 23:29:09,27/07/2020 23:29:09
Springtime Victoriei,restaurant,"food,point_of_interest,establishment",Tazz,10:00-21:30,BUC,București,"Șoseaua Nicolae Titulescu 1, București 011141, Romania",Romania,44.4518037,26.0833126,ChIJW11tCP8BskARuj95ilVyi00,3.9,2424,https://maps.google.com/?cid=5587685474404220858,+40 742 224 736,27/07/2020 23:29:10,27/07/2020 23:29:10
Sahin Kebap,restaurant,"food,point_of_interest,establishment",Tazz,10:00-19:00,BUC,București,"Bulevardul Dinicu Golescu 9A, București 010862, Romania",Romania,44.4422523,26.0791142,ChIJrSX6UC7_sUARqBMilvbi5_s,5,5,https://maps.google.com/?cid=18151726371848721320,+40 755 930 000,27/07/2020 23:29:12,27/07/2020 23:29:12
Cofetaria Casandra,food,"point_of_interest,store,establishment",Tazz,09:00-21:00,BUC,București,"Bulevardul General Gheorghe Magheru 32-36, BucureÈ™ti 010325, Romania",Romania,44.4455059,26.0979655,ChIJoQXh_E3_sUAR8hYqugq308o,4.2,762,https://maps.google.com/?cid=14615226472448268018,+40 757 252 466,27/07/2020 23:29:13,27/07/2020 23:29:13
Chopstix Ready to Box Park Lake,restaurant,"food,point_of_interest,establishment",Tazz,11:00-20:00,BUC,București,"ParkLake, Strada Liviu Rebreanu 5, BucureÈ™ti, Romania",Romania,44.4206152,26.1499465,ChIJY_HrYcD-sUARzNtyIakLUvg,3.6,100,https://maps.google.com/?cid=17893377090534955980,+40 757 353 014,27/07/2020 23:29:15,27/07/2020 23:29:15
Petritis Gyros,restaurant,"food,point_of_interest,establishment",Tazz,10:00-22:00,BUC,București,"Str. Tineretului 63, RoÈ™u 077042, Romania",Romania,44.4454481,25.9826893,ChIJha2rJXABskARB1VI7IEGn7o,4.7,43,https://maps.google.com/?cid=13447474167436301575,+40 754 754 168,27/07/2020 23:29:16,27/07/2020 23:29:16
